response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
42337,Bash/Shell (all shells);Groovy;HTML/CSS;Java;Lisp;Lua;Python;SQL,,Elasticsearch;PostgreSQL;Redis;SQLite,,APT;Cloudflare;Docker;Homebrew;Kubernetes;Maven (build tool);Podman;Prometheus,Ansible;Google Cloud;Make;Terraform,FastAPI,,,,,
42338,,,,,,,,,,,,
42339,C++;Fortran;HTML/CSS;JavaScript;MicroPython;Python,MATLAB,MySQL;Oracle;SQLite,,Amazon Web Services (AWS);Google Cloud,,,,,,Gemini (Pro Reasoning models);openAI GPT (chatbot models),
42340,,,,,,,,,Neovim;Notepad++;Visual Studio Code,Neovim,,
42341,,,,,,,,,,,,
42342,,,,,,,,,,,,
42343,,,,,,,,,,,,
42344,,,,,,,,,,,,
42345,,,,,,,,,,,,
42346,Bash/Shell (all shells);PowerShell;Python;Rust,C;C++;Go;PowerShell;Python;Rust;Zig,PostgreSQL;Redis;SQLite,Dynamodb;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cargo;Docker;Pip,Amazon Web Services (AWS);Cargo;Docker;Make;Pip,FastAPI,Django,Neovim;PyCharm;RustRover;Vim,Neovim;PyCharm;RustRover,,
42347,HTML/CSS;JavaScript;Python;SQL;TypeScript,,MariaDB;MongoDB;MySQL;PostgreSQL;Supabase,,,,,,,,,
42348,,,,,,,,,,,,
42349,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,Dynamodb;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite;Supabase,Elasticsearch;Firebase Realtime Database;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Ansible;Cloudflare;Digital Ocean;Docker;Firebase;Google Cloud;npm;Pip;Poetry;Supabase;Yarn,Amazon Web Services (AWS);Cloudflare;Docker;Firebase;npm;Pip;Poetry;Supabase;Yarn,AngularJS;Django;FastAPI;Flask;Node.js;WordPress,Django;FastAPI;Flask;Node.js,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;Neovim;PyCharm;Vim;Visual Studio Code;Windsurf,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;Neovim;PyCharm;Vim;Visual Studio Code;Windsurf,Anthropic: Claude Sonnet;Meta Llama (all models);openAI GPT (chatbot models),Anthropic: Claude Sonnet;openAI GPT (chatbot models)
42350,,,,,,,,,,,,
42351,,,,,,,,,,,,
42352,HTML/CSS;Python,HTML/CSS;JavaScript;Python;Rust,Neo4J;SQLite,Elasticsearch;Neo4J;Redis;SQLite,Docker;Make;Pip,Docker;Make;npm;Pip;Poetry;Vercel,FastAPI;Flask,FastAPI;Flask;Node.js;Svelte,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,DeepSeek (V- General purpose models);Mistral AI models;openAI GPT (chatbot models);openAI Image generating models,
42353,,,,,,,,,,,,
42354,JavaScript;PHP;SQL;TypeScript,Go;JavaScript;PHP;Python;SQL;TypeScript,Elasticsearch;MySQL;SQLite,Elasticsearch;MySQL;Redis;SQLite,Composer;Docker,Composer;Docker,jQuery;Laravel;Vue.js,jQuery;Laravel;Vue.js,Visual Studio Code,Cursor;Visual Studio Code,Gemini (Flash general purpose models);openAI GPT (chatbot models);X Grok models,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);X Grok models
42355,,,,,,,,,,,,
42356,,,,,,,,,,,,
42357,,,,,,,,,,,,
42358,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,,PostgreSQL;Redis,Cassandra;Elasticsearch;Neo4J;Snowflake;Supabase;Clickhouse,Amazon Web Services (AWS);Ansible;Chocolatey;Datadog;Docker;Gradle;Homebrew;Kubernetes;Make;MSBuild;NuGet;Pip;pnpm;Supabase;Terraform,Prometheus,Angular;ASP.NET Core;FastAPI;Spring Boot,Flask,Cursor;IntelliJ IDEA;PyCharm;Rider;Visual Studio;Visual Studio Code,,openAI GPT (chatbot models);openAI Image generating models,
42359,Java;JavaScript;TypeScript,Java,MongoDB;MySQL,,Amazon Web Services (AWS);Chocolatey;Datadog;Docker;Gradle;npm;NuGet,Amazon Web Services (AWS);Chocolatey;Datadog;Docker,,,Claude Code;Notepad++;Visual Studio;Visual Studio Code;WebStorm,Claude Code;Notepad++;WebStorm,openAI GPT (chatbot models),
42360,,,,,,,,,,,,
42361,,,,,,,,,,,,
42362,,,,,,,,,,,,
42363,,,,,,,,,,,,
42364,,,,,,,,,,,,
42365,,,,,,,,,,,,
42366,,,,,,,,,,,,
42367,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python,Bash/Shell (all shells);GDScript;Go;HTML/CSS;JavaScript;Python;Zig,Cloud Firestore;PostgreSQL;Redis,PostgreSQL,Cloudflare;Digital Ocean;Docker;Firebase;Google Cloud;Make;Pip;Podman;Prometheus,Cloudflare;Digital Ocean;Docker;Make;Podman;Prometheus,FastAPI;Flask,,,,,
42368,Python,,,,,,,,,,,
42369,Bash/Shell (all shells);C++;Java;JavaScript;PowerShell;Python;TypeScript,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Ruby;SQL;TypeScript;Visual Basic (.Net),,,,,,,Eclipse;Jupyter Notebook/JupyterLab;Nano;Notepad++;Vim;Visual Studio;Visual Studio Code,Eclipse;Jupyter Notebook/JupyterLab;Nano;Notepad++;Vim;Visual Studio;Visual Studio Code,,
42370,Bash/Shell (all shells);C#,C#,,,NuGet,Microsoft Azure;NuGet,,,Visual Studio,Android Studio;Visual Studio,,
42371,C#;C++;Python,,DuckDB;Elasticsearch;Microsoft SQL Server;Oracle;SQLite,,Amazon Web Services (AWS);Microsoft Azure,,,,Notepad++;PyCharm;Visual Studio,,,
42372,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server,Microsoft SQL Server,,,jQuery,jQuery,Notepad++;Visual Studio,Notepad++;Visual Studio;Visual Studio Code,,
42373,Bash/Shell (all shells);C;C++;HTML/CSS;Swift,Bash/Shell (all shells);C;C++;HTML/CSS;Swift,,,,,,,,,,
42374,,,,,,,,,,,,
42375,Bash/Shell (all shells);C#;HTML/CSS;Rust;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;Rust;TypeScript,PostgreSQL,PostgreSQL,Cargo;Cloudflare;Datadog;Docker;npm;Pacman;Yarn,Cargo;Datadog;Docker;npm;Pacman;Podman;Yarn,ASP.NET Core;Next.js;React;Axum,Next.js;React;Axum,,,,
42376,Bash/Shell (all shells);C#;Java;Kotlin;Python;SQL,Rust;TypeScript,Cassandra;Dynamodb;Elasticsearch;H2;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL,,Amazon Web Services (AWS);Ansible;Datadog;Docker;Gradle;Kubernetes;Maven (build tool);npm;Poetry;Prometheus;Terraform,,Spring Boot,Angular;Next.js;Node.js;Nuxt.js;React;Vue.js,IntelliJ IDEA;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,Claude Code;RustRover;WebStorm,,
42377,Bash/Shell (all shells);JavaScript;PHP;Python;Ruby,Rust,Elasticsearch;MariaDB;MySQL;PostgreSQL,,Ansible;Docker;Kubernetes;npm;Prometheus;Yarn,,jQuery;Laravel,Phoenix;Ruby on Rails,Android Studio;Vim;Visual Studio Code,,,
42378,,,,,,,,,,,,
42379,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,,PostgreSQL;Redis,,Amazon Web Services (AWS);Docker;Gradle;Kubernetes;npm;Pip;Prometheus;Vercel;Vite;Webpack;Yarn,,Next.js;React;Spring Boot,,IntelliJ IDEA;Vim;Visual Studio Code,,openAI GPT (chatbot models),
42380,Bash/Shell (all shells);C++;JavaScript;SQL;Swift,Bash/Shell (all shells);SQL;Swift,SQLite,SQLite,,,,,Xcode,Xcode,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models)
42381,,,,,,,,,,,,
42382,,,,,,,,,,,,
42383,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;SQLite,PostgreSQL,Amazon Web Services (AWS);APT;Chocolatey;Docker;Google Cloud;Make;Microsoft Azure;npm;Pip;Vite,Amazon Web Services (AWS);APT;Chocolatey;Docker;Make;Microsoft Azure;npm;Pip;pnpm;Prometheus;Terraform;Vite,Django;Express;Node.js;React,Express;FastAPI;Next.js;React,Jupyter Notebook/JupyterLab;Visual Studio Code,Cursor;Visual Studio Code,Cohere: Command A;openAI GPT (chatbot models),Cohere: Command A;Meta Llama (all models);openAI GPT (chatbot models)
42384,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;SQL,Databricks SQL;DuckDB;Snowflake,Databricks SQL;Dynamodb;PostgreSQL,Amazon Web Services (AWS);Docker;Homebrew;Kubernetes;Make;Pip;Prometheus;Terraform,Amazon Web Services (AWS);Docker;Homebrew;Kubernetes;Pip,,,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Claude Code;Cursor;Jupyter Notebook/JupyterLab;Visual Studio Code,,
42385,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Lua;Python;Rust;Swift;Zig,,,Docker;Google Cloud;Kubernetes,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Kubernetes;Pacman;Supabase;Terraform;Vercel,Express;Node.js,Django;Flask;Node.js,Visual Studio Code,Cursor;Neovim;Visual Studio Code,,
42386,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,,Cosmos DB;Microsoft SQL Server;Redis,,Microsoft Azure;npm;NuGet;Pip,,Angular;ASP.NET;ASP.NET Core;Node.js;React,,Claude Code;Notepad++;Visual Studio;Visual Studio Code,,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;X Grok models,
42387,Bash/Shell (all shells);C;C++;Groovy;Java;JavaScript;Python;SQL,Bash/Shell (all shells);C;C++;Groovy;Java;JavaScript;Python;SQL,MariaDB;SQLite,InfluxDB;MariaDB;SQLite,Amazon Web Services (AWS);Docker;Google Cloud;Gradle;Maven (build tool);Ninja;npm,Docker;Google Cloud;Gradle;Maven (build tool),Flask,Flask,,,,
42388,,,,,,,,,,,,
42389,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;TypeScript,MongoDB;SQLite,SQLite,Cloudflare;Docker;npm;Pip;Vercel;Vite,Cloudflare;Docker;npm;Vercel;Vite,Django;Express;Next.js;Node.js;React,Express;Next.js;Node.js;React,,,openAI GPT (chatbot models);openAI Image generating models,openAI GPT (chatbot models);openAI Image generating models
42390,,,,,,,,,,,,
42391,,,,,,,,,,,,
42392,,,,,,,,,,,,
42393,C#;Java;Kotlin;SQL,C;C#;Dart;Java;JavaScript;Rust;SQL;TypeScript,,,,,ASP.NET Core;Spring Boot,Express;NestJS;Next.js;Node.js;React;Spring Boot,Android Studio;Visual Studio;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models);X Grok models,DeepSeek (R- Reasoning models);openAI GPT (chatbot models);X Grok models
42394,C#;HTML/CSS;JavaScript;TypeScript,Python,Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,,,Angular;ASP.NET;ASP.NET Core;jQuery;Nuxt.js;Vue.js,ASP.NET Core;Blazor;Nuxt.js;Vue.js,Notepad++;Visual Studio,Notepad++;Visual Studio,,
42395,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript;VBA,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python,Cassandra;Dynamodb;Elasticsearch;MariaDB;PostgreSQL;SQLite;Amazon Redshift,Dynamodb;Elasticsearch;MariaDB;PostgreSQL;SQLite;Amazon Redshift,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Firebase;Gradle;Maven (build tool);npm;Pip;Prometheus;Splunk;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS);Docker;Firebase;Gradle;Maven (build tool);npm;Pip;Prometheus;Splunk;Terraform;Vite,Drupal;Express;Flask;jQuery;Node.js;Spring Boot,,Cursor;IntelliJ IDEA;PhpStorm;PyCharm;Visual Studio Code,,Amazon Titan models;DeepSeek (V- General purpose models);openAI GPT (chatbot models);Reka (Flash 3 or other Reka models),Amazon Titan models;openAI GPT (chatbot models);Reka (Flash 3 or other Reka models);X Grok models
42396,Assembly;Bash/Shell (all shells);C;C#;C++;Fortran;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript,Bash/Shell (all shells);C;C#;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;Rust;Scala;SQL;TypeScript,H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Docker;Gradle;Make;Maven (build tool);Yarn,Docker;Gradle;Make;Maven (build tool);Yarn,AngularJS;ASP.NET;Astro;FastAPI;Flask;Laravel;Next.js;Node.js;React;Ruby on Rails;Spring Boot;Vue.js,FastAPI;Flask;Laravel;Next.js;Node.js;React;Spring Boot;Vue.js,Claude Code;Cline and/or Roo;Cursor;IntelliJ IDEA;Lovable.dev;PhpStorm;PyCharm;Rider;RustRover;Vim;Visual Studio;Visual Studio Code;WebStorm,Claude Code;Cline and/or Roo;Cursor;IntelliJ IDEA;PhpStorm;PyCharm;Rider;RustRover;Visual Studio;Visual Studio Code;WebStorm,Alibaba Cloud Qwen models;DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;X Grok models,DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;X Grok models
42397,Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,C++;Go;HTML/CSS;JavaScript;Kotlin;Rust;SQL;TypeScript,Cloud Firestore;Dynamodb;MongoDB;PostgreSQL;Redis,Cassandra;Dynamodb;Elasticsearch;PostgreSQL;Valkey,Amazon Web Services (AWS);Cargo;Chocolatey;Cloudflare;Docker;Firebase;Google Cloud;Homebrew;npm;Pip;Prometheus;Vercel;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cargo;Cloudflare;Docker;Google Cloud;Homebrew;Kubernetes;npm;Prometheus;Vercel;Vite;Yarn,Angular;AngularJS;Django;Express;jQuery;NestJS;Next.js;Node.js;React,Angular;Express;FastAPI;Fastify;NestJS;Next.js;Node.js;Vue.js,Android Studio;Neovim;Visual Studio Code,Neovim;Visual Studio Code;WebStorm,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);openAI GPT (chatbot models);openAI Reasoning models,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
42398,,,,,,,,,,,,
42399,,,,,,,,,,,,
42400,,,,,,,,,,,,
42401,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Swift;Zig,Go;Kotlin;Lua;Swift;Zig,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Docker;Homebrew;Kubernetes;Maven (build tool);Pacman;Prometheus;Terraform,Docker;Homebrew,Node.js,,Android Studio;Cursor;IntelliJ IDEA;Neovim;Visual Studio Code;Xcode,Cursor;Neovim,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models,
42402,,,,,,,,,,,,
42403,HTML/CSS;JavaScript;PHP;Python;TypeScript,HTML/CSS;TypeScript,,,Amazon Web Services (AWS);Bun;Cloudflare;Digital Ocean;Docker;Homebrew;Netlify;New Relic;npm;Pip;Vite;Webpack,Bun;Cloudflare;Homebrew;npm;Vite,Deno;Next.js;Node.js;React;WordPress,Astro;Deno;Next.js;Node.js,Claude Code;Cline and/or Roo;Visual Studio Code;Zed,Claude Code;Cline and/or Roo;Visual Studio Code;WebStorm;Zed,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
42404,,,,,,,,,,,,
42405,,,,,,,,,,,,
42406,,,,,,,,,,,,
42407,Assembly;Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;MicroPython;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;MicroPython;PHP;PowerShell;Python;Rust;SQL;TypeScript;Visual Basic (.Net),MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Pocketbase,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Pocketbase,APT;Bun;Cargo;Chocolatey;Cloudflare;Composer;Docker;Gradle;Heroku;Kubernetes;npm;NuGet;Pacman;Pip;pnpm;Podman;Vercel;Vite;Webpack;Yarn,APT;Bun;Cargo;Chocolatey;Cloudflare;Composer;Docker;Gradle;Kubernetes;npm;NuGet;Pacman;Pip;pnpm;Vite;Webpack;Yarn,Astro;Deno;Drupal;Express;FastAPI;Fastify;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress,Astro;Deno;Drupal;Express;FastAPI;Fastify;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress,Android Studio;Nano;Neovim;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;VSCodium;WebStorm,Android Studio;Nano;Neovim;Notepad++;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;VSCodium;WebStorm,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models;X Grok models,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models;X Grok models
42408,,,,,,,,,,,,
42409,,,,,,,,,,,,
42410,,,,,,,,,,,,
42411,C#;HTML/CSS;JavaScript;PowerShell;Python;Visual Basic (.Net),,Cosmos DB;Microsoft SQL Server,,Microsoft Azure;Vercel;Webpack;Yarn,,ASP.NET;ASP.NET Core;Next.js;Node.js,,IntelliJ IDEA;Visual Studio Code,,openAI GPT (chatbot models),
42412,,,,,,,,,,,,
42413,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL,H2;MariaDB;MySQL;Oracle;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,,,Django;FastAPI;Flask,FastAPI;Flask,IntelliJ IDEA;Visual Studio Code;Zed,IntelliJ IDEA;Zed,,
42414,HTML/CSS;Java;JavaScript,Assembly;C++;HTML/CSS;Java;Rust,,,Maven (build tool),Maven (build tool);npm,,,Visual Studio Code,Visual Studio Code,,
42415,,,,,,,,,,,,
42416,,,,,,,,,,,,
42417,HTML/CSS;Python;SQL;VBA,HTML/CSS;Python;SQL,MariaDB;Microsoft Access;MySQL,MariaDB;MongoDB,,,,,Claude Code;Jupyter Notebook/JupyterLab;PyCharm,Claude Code;Jupyter Notebook/JupyterLab;PyCharm,,
42418,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,MariaDB;MySQL;Snowflake;SQLite,MariaDB;MySQL;PostgreSQL;Snowflake;SQLite;Supabase,Ansible;Cloudflare;Composer;Digital Ocean;Docker;Homebrew;Netlify;New Relic;npm;pnpm;Webpack,Cloudflare;Composer;Docker;Homebrew;Netlify;New Relic;npm;pnpm;Webpack,Astro;Deno;Next.js;Node.js;React;WordPress,Astro;Deno;Next.js;Node.js;React;WordPress,Cursor;Visual Studio Code;Zed,Cursor;Visual Studio Code,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models)
42419,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Lisp;PHP;Python;Ruby;SQL;TypeScript,C;Elixir;Erlang;Go;HTML/CSS;JavaScript;Lisp;PHP;Python;Ruby;SQL;TypeScript;Gleam,Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Datomic;DuckDB;MariaDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);APT;Cloudflare;Composer;Datadog;Docker;Homebrew;Kubernetes;Make;Microsoft Azure;npm;NuGet;Pacman;Pip;Podman;Vite;Webpack;Yarn,Amazon Web Services (AWS);APT;Cloudflare;Composer;Datadog;Docker;Homebrew;Kubernetes;Make;NuGet;Pacman;Podman;Supabase,AngularJS;ASP.NET Core;Deno;Drupal;FastAPI;Next.js;Node.js;React;Ruby on Rails;Symfony,ASP.NET Core;Deno;Drupal;FastAPI;Laravel;Node.js;Phoenix;Ruby on Rails;Svelte;Symfony,Visual Studio Code,Claude Code;Cursor;Rider;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;X Grok models
42420,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Perl;PHP;Python;Rust;SQL,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Ansible;APT;Cargo;Cloudflare;Composer;Digital Ocean;Docker;Google Cloud;Heroku;Kubernetes;Make;npm;Pip;pnpm;Prometheus;Vite;Webpack;Yarn,Ansible;APT;Cloudflare;Composer;Docker;Make;npm;Pip;Vite,Django;Drupal;Express;jQuery;Laravel;Next.js;Node.js;React;Symfony;Vue.js;WordPress,Astro;Deno;Django;Express;jQuery;Node.js;Svelte;Vue.js;WordPress,Nano;Vim,Neovim;Vim,,
42421,,,,,,,,,,,,
42422,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Rust;SQL;Zig,Assembly;C;Java;Rust;SQL;Swift,PostgreSQL,Elasticsearch;PostgreSQL;Redis;SQLite;Valkey,Cargo;Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm,Amazon Web Services (AWS);Bun;Cargo;Docker;Homebrew;Kubernetes;Maven (build tool);Prometheus;Terraform,jQuery;Next.js;Spring Boot,Angular;Spring Boot;Vue.js;Axum,IntelliJ IDEA;Neovim;Vim;Visual Studio Code,IntelliJ IDEA;Neovim;Vim;Visual Studio Code;Zed,openAI GPT (chatbot models),openAI GPT (chatbot models)
42423,Bash/Shell (all shells);Python,Elixir;F#;Go;Rust;Mojo,DuckDB;PostgreSQL,DuckDB;PostgreSQL;Redis;Clickhouse;Valkey,,,FastAPI,FastAPI,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code;Zed,Cursor;Neovim;Visual Studio Code;Windsurf,Mistral AI models,Mistral AI models
42424,,,,,,,,,,,,
42425,HTML/CSS;JavaScript;Python;SQL;TypeScript,MATLAB;MicroPython;PowerShell;Python,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,BigQuery;Cassandra;Cloud Firestore;Elasticsearch;Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Docker;Firebase;Google Cloud;Netlify;npm;Pip;Railway;Supabase;Vercel;Webpack,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Firebase;Google Cloud;Kubernetes;Netlify;npm;Pip;Railway;Supabase;Vercel,Express;jQuery;Next.js;Node.js;React,Express;Next.js;Node.js;React,Bolt;Claude Code;Cursor;Jupyter Notebook/JupyterLab;Lovable.dev;Notepad++;PyCharm;Trae;Visual Studio Code,Bolt;Claude Code;Cursor;Jupyter Notebook/JupyterLab;Lovable.dev;Notepad++;PyCharm;Trae;Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;X Grok models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;X Grok models
42426,,,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,,,,,,,,
42427,C++;Go;HTML/CSS;JavaScript;Python;TypeScript,,InfluxDB;PostgreSQL;Redis;SQLite;Cockroachdb,,Amazon Web Services (AWS);APT;Docker;Google Cloud;Kubernetes;Microsoft Azure;npm;Pip;Vite;Webpack,,Angular;Django;Flask;Node.js;React,,Visual Studio Code,,,
42428,,,,,,,,,,,,
